Relations not resolved
System.Collections.Concurrent.BlockingCollection`1 1 occurrences
System.Collections.Concurrent.ConcurrentDictionary`2 47 occurrences
System.Collections.Concurrent.ConcurrentQueue`1 11 occurrences
System.Collections.Concurrent.ConcurrentStack`1 4 occurrences
System.Collections.DictionaryEntry 35 occurrences
System.Collections.Generic.Comparer`1 3 occurrences
System.Collections.Generic.Dictionary`2 300 occurrences
System.Collections.Generic.Dictionary`2/Enumerator 41 occurrences
System.Collections.Generic.Dictionary`2/KeyCollection 13 occurrences
System.Collections.Generic.Dictionary`2/KeyCollection/Enumerator 13 occurrences
System.Collections.Generic.Dictionary`2/ValueCollection 40 occurrences
System.Collections.Generic.Dictionary`2/ValueCollection/Enumerator 37 occurrences
System.Collections.Generic.EqualityComparer`1 6 occurrences
System.Collections.Generic.HashSet`1 106 occurrences
System.Collections.Generic.HashSet`1/Enumerator 24 occurrences
System.Collections.Generic.ICollection`1 165 occurrences
System.Collections.Generic.IComparer`1 13 occurrences
System.Collections.Generic.IDictionary`2 132 occurrences
System.Collections.Generic.IEnumerable`1 354 occurrences
System.Collections.Generic.IEnumerator`1 231 occurrences
System.Collections.Generic.IEqualityComparer`1 32 occurrences
System.Collections.Generic.IList`1 88 occurrences
System.Collections.Generic.IReadOnlyCollection`1 37 occurrences
System.Collections.Generic.IReadOnlyDictionary`2 47 occurrences
System.Collections.Generic.IReadOnlyList`1 10 occurrences
System.Collections.Generic.ISet`1 26 occurrences
System.Collections.Generic.KeyNotFoundException 8 occurrences
System.Collections.Generic.KeyValuePair`2 136 occurrences
System.Collections.Generic.LinkedList`1 15 occurrences
System.Collections.Generic.LinkedList`1/Enumerator 8 occurrences
System.Collections.Generic.LinkedListNode`1 5 occurrences
System.Collections.Generic.List`1 398 occurrences
System.Collections.Generic.List`1/Enumerator 134 occurrences
System.Collections.Generic.Queue`1 7 occurrences
System.Collections.Generic.SortedDictionary`2 10 occurrences
System.Collections.Generic.SortedDictionary`2/Enumerator 5 occurrences
System.Collections.Generic.SortedDictionary`2/ValueCollection 1 occurrences
